0.015708 1032
0.0471239 1064
0.0785398 1137
0.109956 1134
0.141372 1097
0.172788 1108
0.204204 1088
0.235619 1158
0.267035 1084
0.298451 1088
0.329867 1034
0.361283 1112
0.392699 1038
0.424115 1075
0.455531 1046
0.486947 1082
0.518363 1050
0.549779 1045
0.581195 996
0.612611 1023
0.644026 1011
0.675442 1015
0.706858 1023
0.738274 1011
0.76969 985
0.801106 993
0.832522 991
0.863938 960
0.895354 960
0.92677 973
0.958186 919
0.989602 979
1.02102 962
1.05243 906
1.08385 888
1.11527 915
1.14668 995
1.1781 944
1.20951 898
1.24093 946
1.27235 929
1.30376 945
1.33518 864
1.36659 896
1.39801 919
1.42942 940
1.46084 895
1.49226 856
1.52367 932
1.55509 881
1.5865 906
1.61792 865
1.64934 917
1.68075 844
1.71217 938
1.74358 928
1.775 903
1.80642 911
1.83783 948
1.86925 877
1.90066 932
1.93208 928
1.9635 971
1.99491 962
2.02633 887
2.05774 881
2.08916 971
2.12058 911
2.15199 925
2.18341 950
2.21482 980
2.24624 1029
2.27765 1014
2.30907 1039
2.34049 998
2.3719 998
2.40332 1000
2.43473 1000
2.46615 1000
2.49757 1091
2.52898 1108
2.5604 1044
2.59181 1038
2.62323 1059
2.65465 1030
2.68606 1049
2.71748 1059
2.74889 1024
2.78031 1131
2.81173 1052
2.84314 1118
2.87456 1021
2.90597 1095
2.93739 1108
2.96881 1108
3.00022 1124
3.03164 1069
3.06305 1155
3.09447 1132
3.12588 1150
